timestamp,.state,.state,.state,.state,.state,.state,.state,.state,Rain Meter.inst,mTK Wind Speed.inst,System batt voltage (24vdc).avg,System batt voltage (24vdc).min,Solar Irradiance.avg,Solar Irradiance.inst,Ground Solar charge.avg,Ground Solar charge.inst,Roof Solar Charge.avg,Roof Solar Charge.inst,Trailer internal temp.avg,Outdoor Temp.avg
1643063769,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2467,27.1865,10.9608,3.8241,0.6278,0.6366,0.8179,0.7075,47.9949,35.5272
1643063839,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2454,27.1844,10.0152,11.1904,0.6327,0.6596,0.8128,0.7987,47.9750,35.4125
1643063889,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2493,27.1981,11.1118,10.8380,0.6445,0.6678,0.8181,0.7987,47.9281,36.2844
1643063959,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2461,27.1993,10.8663,10.7077,0.6505,0.6323,0.7965,0.7784,47.8156,37.1750
1643064009,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2436,27.1963,9.5358,8.9155,0.6507,0.6643,0.7922,0.7784,47.7219,36.6781
1643064079,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2464,27.1986,9.4605,9.0327,0.6468,0.6364,0.8200,0.7480,47.7500,36.1531
1643064129,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2458,27.1999,9.8329,10.6137,0.6461,0.6569,0.7943,0.7683,47.7406,35.1406
1643064192,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2460,27.2020,10.5331,10.4880,0.6455,0.6407,0.7879,0.7683,47.7594,37.7000
1643064249,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2444,27.1973,9.8624,8.6511,0.6465,0.6467,0.7862,0.7683,47.7594,39.0969
1643064319,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2427,27.1896,7.3578,1.7365,0.6508,0.6538,0.8029,0.5860,47.7500,37.2219
1643064369,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2131,27.1620,3.0286,7.3646,0.6378,0.6156,0.6955,1.0418,47.7500,35.6469
1643064430,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2180,27.1670,7.0003,1.8435,0.6360,0.6432,0.6822,0.4745,47.8812,36.8656
1643064489,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.1940,27.1871,3.6221,7.4226,0.6411,0.6575,0.4720,0.4441,47.9750,37.7562
1643064550,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.1905,27.1361,6.8377,6.8286,0.6523,0.6506,0.6378,0.9202,48.0406,39.5844
1643064609,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2286,27.1357,7.8929,10.4375,0.6451,0.6143,0.8956,1.0823,48.0781,40.6531
1643064670,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2475,27.1802,8.5347,8.8701,0.6318,0.6457,0.8739,0.8189,48.1438,39.9313
1643064729,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2429,27.1912,8.1824,6.9449,0.6456,0.6391,0.8346,0.8595,48.1250,41.2625
1643064798,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2468,27.1896,8.3227,7.4640,0.6376,0.6540,0.8564,0.8696,48.0688,38.5531
1643064849,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2476,27.1971,9.1712,8.9148,0.6253,0.6383,0.8334,0.7784,48.0688,38.0656
1643064911,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2489,27.1919,9.0393,8.9733,0.6163,0.5888,0.8011,0.7987,48.0688,38.1312
1643064969,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2479,27.1885,9.2906,9.2358,0.6243,0.6362,0.7936,0.7987,47.9937,36.8000
1643065039,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2465,27.2011,9.0203,7.9170,0.6321,0.6236,0.7864,0.7886,47.9187,36.8000
1643065089,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2473,27.2032,8.5685,9.2231,0.6310,0.6172,0.8035,0.7886,47.7125,37.1375
1643065163,0,0,0,0,0,0,0,0,22781.0000,0.0000,27.2468,27.2022,8.8510,8.7946,0.6309,0.6211,0.7829,0.8088,47.5156,37.4938
