Hour Ending,,,,,,,,,,,,,
MST,(mu)g/m³,(mu)g/m³,°C,m bar,Percent,W/m2,m,m/s,m/s,°,mm,mm,
Date,PM10 (1h),PM10 (24h rolling),Temperature (1h),Pressure (1h),Relative Humidity (1h),Solar Radiation (1h),Snow Depth (1h),Wind Speed Max. (1h),Wind Speed (1h),Wind Direction (1h),Precipitation (1h),Precipitation (24h rolling),Annotations
2021-12-31 15:00:00,42.93726,25.22876,-18.56,1003,53.08,26.14552,0.3149448,0.87,0.026,257.9,0,0.27,
2021-12-31 16:00:00,28.11503,26.06584,-21.09,1004,63.46,8.088164,0.3171772,0,0,0,0,0.27,
2021-12-31 17:00:00,17.75053,26.49989,-25.2,1004,72.11,0.7520257,0.3202057,0,0,0,0,0.27,
2021-12-31 18:00:00,14.50522,26.78423,-27.19,1005,74.14,0,0.3206318,1.157,0.103,7.919,0,0.27,
2021-12-31 19:00:00,16.46501,26.93781,-28.3,1005,73.38,0,0.3224173,0.901,0.068,307,0,0.27,
2021-12-31 20:00:00,27.95672,27.09901,-28.66,1005,73.1,0,0.322396,2.068,0.668,356.9,0,0.27,
2021-12-31 21:00:00,30.76044,27.01399,-29.3,1006,72.64,0,0.3189996,1.772,0.061,337.9,0,0.17,
2021-12-31 22:00:00,36.6115,27.31533,-29.79,1006,72.45,0,0.3231139,2.478,0.314,10.9,0,0.17,
2021-12-31 23:00:00,38.1015,27.91321,-30.1,1006,72.11,0,0.3211892,1.741,0.158,14.39,0,0.17,
2022-01-01 00:00:00,41.6775,28.74206,-30.93,1006,71.76,0,0.3221719,1.587,0.058,35.3,0,0.09,
2022-01-01 01:00:00,46.27554,29.97834,-30.88,1007,71.78,0,0.3205604,2.253,0.165,330.5,0,0,
2022-01-01 02:00:00,46.96248,31.19904,-30.91,1007,71.71,0,0.3235912,2.427,0.345,27.86,0,0,
2022-01-01 03:00:00,48.1339,32.26802,-31.57,1007,71.4,0,0.3242849,2.908,0.153,12.79,0,0,
2022-01-01 04:00:00,45.17719,33.12076,-31.78,1008,71.24,0,0.3227728,2.324,0.133,306.9,0,0,
2022-01-01 05:00:00,42.09775,34.02312,-31.61,1008,71.23,0,0.3225824,0,0,0,0,0,
2022-01-01 06:00:00,41.21603,34.64865,-31.97,1008,71.12,0,0.322037,0,0,0,0,0,
2022-01-01 07:00:00,42.55657,35.41171,-31.77,1008,71.16,0,0.321345,2.109,0.148,76.32,0,0,
2022-01-01 08:00:00,41.67441,36.20492,-31.52,1008,71.25,0,0.3232816,1.423,0.08,80.8,0,0,
