day,start,end,,,,,,,,,,
2/1/2022,14:25,15:18,,,,,,,,,,
2/1/2022,16:17,21:45,,,,,,,,,,
2/2/2022,4:12,10:40,,,,,,,,,,
2/2/2022,19:33,23:59,,,,,,,,,,
2/3/2022,0:00,23:59,,,,,,,,,,
2/4/2022,0:00,15:05,,,,,,,,,,
2/4/2022,18:50,23:59,,,,,,,,,,
2/5/2022,0:00,3:36,,,,,,,,,,
2/14/2022,12:57,23:59,,,,,,,,,,
2/15/2022,0:00,3:15,,,,,,,,,,
2/15/2022,8:55,23:59,,,,,,,,,,
2/16/2022,0:00,3:45,,,,,,,,,,
2/19/2022,0:00,23:59,,,,,,,,,,
2/20/2022,0:00,23:59,,,,,,,,,,
2/21/2022,0:00,23:59,,,,,,,,,,
2/22/2022,0:00,23:59,,,,,,,,,,
2/23/2022,0:00,23:59,,,,,,,,,,
2/24/2022,0:00,23:59,,,,,,,,,,
2/25/2022,9:30,23:59,,,,,,,,,,
2/26/2022,0:00,12:36,,,,,,,,,,
2/27/2022,4:55,9:07,,,,,,,,,,
2/27/2022,13:40,23:59,,,,,,,,,,
2/28/2022,0:00,23:59,,,,,,,,,,
3/1/2022,0:00,23:59,,,,,,,,,,
3/2/2022,8:24,23:59,,,,,,,,,,
3/3/2022,0:00,23:59,,,,,,,,,,
3/4/2022,0:00,3:54,,,,,,,,,,
3/5/2022,1:12,9:00,,,,,,,,,,
3/7/2022,15:21,23:59,,,,,,,,,,
3/8/2022,0:00,3:36,,,,,,,,,,
3/12/2022,4:26,10:12,,,,,,,,,,
3/14/2022,0:00,23:59,,,,,,,,,,
3/15/2022,0:00,23:59,,,,,,,,,,
3/16/2022,0:00,23:59,,,,,,,,,,
3/17/2022,0:00,23:59,,,,,,,,,,
3/18/2022,0:00,23:59,,,,,,,,,,
3/19/2022,0:00,23:59,,,,,,,,,,
3/20/2022,0:00,23:59,,,,,,,,,,
3/21/2022,0:00,23:59,,,,,,,,,,
3/22/2022,0:00,12:00,,,,,,,,,,
3/23/2022,0:00,12:00,,,,,,,,,,
3/28/2022,23:09,23:59,,,,,,,,,,
3/29/2022,0:00,1:30,,,,,,,,,,
4/4/2022,2:24,17:00,,,,,,,,,,
4/8/2022,18:21,23:59,,,,,,,,,,
4/9/2022,0:00,12:28,,,,,,,,,,
