"","date","rockfall","unique_hours","avg_time","cumuRockfall"
"1",2022-03-24,7,4,2022-03-24 11:39:17,7
"2",2022-03-25,16,6,2022-03-25 13:55:54.625,23
"3",2022-03-26,11,5,2022-03-26 10:29:53.545455,34
"4",2022-03-27,8,7,2022-03-27 12:51:05,42
"5",2022-03-28,10,9,2022-03-28 13:38:12.8,52
"6",2022-03-29,14,7,2022-03-29 10:37:39.857143,66
"7",2022-03-30,20,8,2022-03-30 12:14:12.45,86
"8",2022-03-31,3,2,2022-03-31 13:07:08.666667,89
"9",2022-04-01,6,3,2022-04-01 12:42:15.333333,95
"10",2022-04-02,1,1,2022-04-02 12:02:22,96
"11",2022-04-03,15,9,2022-04-03 14:46:03.266667,111
"12",2022-04-04,7,3,2022-04-04 01:31:23.571429,118
"13",2022-04-05,7,4,2022-04-05 06:07:27.857143,125
"14",2022-04-06,10,7,2022-04-06 11:24:36.9,135
"15",2022-04-07,7,7,2022-04-07 10:45:34.142857,142
"16",2022-04-08,10,6,2022-04-08 09:01:57.2,152
"17",2022-04-10,2,2,2022-04-10 14:34:55.5,154
"18",2022-04-11,2,2,2022-04-11 13:00:21.5,156
